centre,vacancy_rental_condo,vacancy_rms,rent_rental_condo,rent_rms,universe_rental_condo,universe_rms,pct_condo_in_rental,year,csi_total,csi_nonviolent,clearance_rate_nonviolent,csi_total_pct_change,csi_nonviolent_pct_change,clearance_rate_nonviolent_pct_change,csi_violent_pct_change,clearance_rate_violent_pct_change,clearance_rate_pct_change,csi_violent,clearance_rate_violent,clearance_rate
Hamilton CMA,0.4,2.8,1996.0,1362,3915,45147,21.9,2021,56.8,49.89,32.1,2.68,4.74,-1.35,-1.39,19.34,9.74,75.29,65.73,44.75
Hamilton CMA,0.1,1.9,2083.0,1438,4460,45212,24.6,2022,56.56,51.06,27.04,-0.42,2.35,-15.76,-4.99,-20.63,-19.42,71.53,52.17,36.06
Hamilton CMA,2.6,2.1,2373.0,1617,5585,44765,27.1,2023,59.39,54.2,24.97,5.0,6.15,-7.66,2.95,-0.27,-4.35,73.64,52.03,34.49
Hamilton CMA,1.8,2.4,2509.0,1632,6470,45445,28.8,2024,58.7,53.48,25.22,-1.16,-1.33,1.0,-0.84,-0.75,0.17,73.02,51.64,34.55
Kelowna CMA,0.8,2.1,2234.0,1391,2978,6905,23.3,2020,114.14,120.49,22.57,-5.02,-9.71,1.9,16.1,-15.82,-1.3,95.76,37.08,25.8
Kelowna CMA,0.1,0.6,2234.0,1475,3586,7185,27.2,2021,121.25,128.98,19.07,6.23,7.05,-15.51,9.11,12.59,-4.61,104.48,41.75,24.61
Kelowna CMA,0.7,1.2,2234.0,1690,3619,7761,27.1,2022,126.03,135.18,17.61,3.94,4.81,-7.66,1.25,-4.55,-6.91,105.79,39.85,22.91
Kelowna CMA,0.3,1.3,2234.0,1805,4007,8249,28.4,2023,119.56,125.13,17.73,-5.13,-7.43,0.68,2.21,-3.26,0.7,108.13,38.55,23.07
Kelowna CMA,0.2,3.8,2234.0,1935,4886,8788,34.0,2024,107.49,108.87,20.95,-10.1,-12.99,18.16,-1.69,-8.98,8.02,106.3,35.09,24.92
Kitchener-Cambridge-Waterloo CMA,1.2,2.1,1418.0,1295,3902,36305,31.6,2020,74.94,71.15,24.15,2.01,4.43,-14.03,-3.19,5.29,-6.61,85.01,53.38,32.93
Kitchener-Cambridge-Waterloo CMA,0.8,2.0,1950.0,1356,4372,36528,32.8,2021,76.26,73.53,23.12,1.76,3.35,-4.27,-0.38,-16.05,-9.02,84.69,44.81,29.96
Kitchener-Cambridge-Waterloo CMA,1.1,1.2,1971.0,1469,5025,37045,32.8,2022,78.87,71.87,22.6,3.42,-2.26,-2.25,15.76,-0.07,1.54,98.04,44.78,30.42
Kitchener-Cambridge-Waterloo CMA,0.1,2.1,1992.0,1658,5342,35754,33.1,2023,75.81,69.66,24.04,-3.88,-3.07,6.37,-5.33,-2.05,1.68,92.81,43.86,30.93
Kitchener-Cambridge-Waterloo CMA,0.4,3.6,2013.0,1766,5435,38894,30.8,2024,73.13,66.48,24.79,-3.54,-4.57,3.12,-1.61,3.37,3.72,91.32,45.34,32.08
London CMA,0.6,3.4,1619.0,1207,2618,46326,33.9,2020,73.76,75.71,23.21,-1.75,-3.99,-9.93,5.95,-10.65,-8.36,67.86,60.64,32.34
London CMA,0.3,1.9,1537.0,1275,3179,47214,40.4,2021,78.57,73.77,23.31,6.52,-2.56,0.43,35.93,-6.55,6.46,92.24,56.67,34.43
London CMA,0.9,1.7,1793.5,1393,2926,47778,35.4,2022,74.68,70.86,22.91,-4.95,-3.94,-1.72,-6.96,-6.79,-5.11,85.82,52.82,32.67
London CMA,0.1,1.7,2050.0,1479,3098,47023,36.9,2023,64.8,59.89,24.7,-13.23,-15.48,7.81,-8.58,22.45,17.66,78.46,64.68,38.44
London CMA,0.2,2.9,2050.0,1548,3256,48189,38.0,2024,61.26,55.76,27.13,-5.46,-6.9,9.84,-2.73,-4.72,2.32,76.32,61.63,39.33
Montréal CMA,2.0,2.7,1277.0,903,40354,602897,19.5,2020,53.01,45.56,23.95,-8.38,-10.89,-4.31,-3.65,0.35,0.08,73.39,60.7,37.43
Montréal CMA,1.4,3.0,1420.0,932,40708,612757,19.2,2021,59.34,50.56,21.29,11.94,10.97,-11.11,12.48,-8.68,-7.11,82.55,55.43,34.77
Montréal CMA,2.0,2.0,1517.0,1022,44925,621229,20.5,2022,61.88,51.79,21.83,4.28,2.43,2.54,7.1,-0.87,1.41,88.41,54.95,35.26
Montréal CMA,1.3,1.5,1642.0,1096,45181,632708,20.2,2023,64.09,53.88,23.71,3.57,4.04,8.61,2.91,-1.6,1.93,90.98,54.07,35.94
Montréal CMA,1.4,2.1,1724.0,1176,49502,653365,21.7,2024,64.43,53.19,24.63,0.53,-1.28,3.88,3.21,1.28,3.2,93.9,54.76,37.09
Ottawa-Gatineau CMA (Ont. part),0.4,3.9,1752.0,1517,10689,66084,29.8,2020,47.27,44.21,27.82,-17.0,-15.71,-4.04,-19.72,3.9,-1.14,55.46,52.76,35.58
Ottawa-Gatineau CMA (Ont. part),0.8,3.4,1818.0,1550,10822,66667,29.8,2021,46.85,41.23,26.25,-0.89,-6.74,-5.64,11.61,-7.75,-2.59,61.9,48.67,34.66
Ottawa-Gatineau CMA (Ont. part),0.5,2.1,2075.0,1625,10599,71062,28.7,2022,52.15,47.56,25.38,11.31,15.35,-3.31,4.59,5.51,-0.38,64.74,51.35,34.53
Ottawa-Gatineau CMA (Ont. part),0.4,2.1,2085.0,1698,11117,72591,29.9,2023,54.2,50.22,24.79,3.93,5.59,-2.32,0.86,-2.65,-3.24,65.3,49.99,33.41
Ottawa-Gatineau CMA (Ont. part),0.5,2.6,2170.0,1880,10926,78463,28.8,2024,54.12,49.36,22.0,-0.15,-1.71,-11.25,2.86,4.08,-2.48,67.17,52.03,32.58
Ottawa-Gatineau CMA (Qué. part),1.3,1.6,1206.0,950,3501,25284,33.9,2020,51.07,42.81,34.03,-7.82,-14.04,-6.46,4.39,-3.85,-2.24,73.7,64.72,45.77
Ottawa-Gatineau CMA (Qué. part),1.3,1.1,1260.0,1035,3279,26368,31.9,2021,49.91,41.38,33.18,-2.27,-3.34,-2.5,-1.89,1.05,1.44,72.31,65.4,46.43
Ottawa-Gatineau CMA (Qué. part),1.2,0.8,1298.0,1269,2380,28060,23.0,2022,59.94,50.13,31.7,20.1,21.15,-4.46,18.59,-2.19,-3.51,85.75,63.97,44.8
Ottawa-Gatineau CMA (Qué. part),1.2,1.1,1708.0,1252,3235,28864,31.1,2023,61.96,50.98,32.31,3.37,1.7,1.92,5.81,-1.92,0.36,90.73,62.74,44.96
Ottawa-Gatineau CMA (Qué. part),1.2,1.9,1708.0,1353,2896,30607,27.2,2024,61.56,49.57,32.17,-0.65,-2.77,-0.43,2.35,-3.19,-1.25,92.86,60.74,44.4
Québec CMA,3.2,2.7,1093.0,899,5754,95096,16.2,2020,41.72,36.28,29.1,-4.44,-6.28,-9.66,-0.96,-0.74,-4.18,56.58,61.74,40.83
Québec CMA,3.0,2.5,1135.0,945,5945,99090,16.6,2021,42.77,36.11,28.17,2.52,-0.47,-3.2,6.66,-6.62,-2.08,60.35,57.65,39.98
Québec CMA,1.95,1.5,1192.0,976,5755,103137,15.9,2022,47.45,39.35,27.26,10.94,8.97,-3.23,13.85,-1.53,-1.48,68.71,56.77,39.39
Québec CMA,0.9,0.9,1317.0,1040,5463,106735,15.1,2023,53.82,44.35,27.97,13.42,12.71,2.6,14.44,-0.76,0.86,78.63,56.34,39.73
Québec CMA,0.9,0.9,1355.0,1159,5818,114092,15.8,2024,55.54,46.3,29.14,3.2,4.4,4.18,1.56,-0.04,1.28,79.86,56.32,40.24
Regina CMA,5.3,7.5,1345.0,1152,2494,13888,33.1,2020,106.96,98.27,33.71,-19.64,-25.41,7.7,-4.11,2.15,9.15,130.4,61.89,42.82
Regina CMA,4.8,7.1,1278.0,1156,2246,13860,29.8,2021,115.47,103.61,30.27,7.96,5.43,-10.2,13.16,4.86,0.02,147.56,64.9,42.83
Regina CMA,2.7,3.2,1467.0,1186,2504,13846,32.9,2022,111.17,106.35,25.94,-3.72,2.64,-14.3,-14.9,-9.21,-14.73,125.57,58.92,36.52
Regina CMA,1.8,1.4,1421.0,1301,1655,14022,21.6,2023,112.73,101.44,29.4,1.4,-4.62,13.34,14.15,4.36,12.21,143.34,61.49,40.98
Regina CMA,1.7,2.6,1409.0,1415,1875,14490,24.4,2024,99.63,88.96,30.51,-11.62,-12.3,3.78,-10.39,-3.92,-0.05,128.44,59.08,40.96
Saskatoon CMA,3.2,5.9,1279.0,1166,3502,14687,28.6,2020,108.25,102.55,31.05,-9.77,-9.04,4.62,-11.42,-2.3,1.43,123.38,47.92,36.15
Saskatoon CMA,3.0,4.8,1208.0,1183,4067,15263,32.1,2021,108.37,102.63,31.84,0.11,0.08,2.54,1.33,-10.1,-1.74,125.02,43.08,35.52
Saskatoon CMA,3.7,3.4,1346.0,1243,4065,15887,31.9,2022,117.04,109.82,29.72,8.0,7.01,-6.66,10.05,15.48,2.48,137.58,49.75,36.4
Saskatoon CMA,1.2,2.0,1449.0,1360,4047,16958,31.8,2023,117.13,109.49,31.9,0.08,-0.3,7.34,0.84,-10.33,-0.63,138.74,44.61,36.17
Saskatoon CMA,0.6,2.0,1543.0,1471,3844,17472,30.1,2024,106.33,93.06,33.25,-9.22,-15.01,4.23,2.18,3.07,5.25,141.77,45.98,38.07
Toronto CMA,1.9,3.4,2440.0,1635,144863,318613,34.3,2020,46.65,39.26,27.56,-14.34,-14.17,-1.11,-14.64,4.39,1.8,66.88,56.06,38.39
Toronto CMA,1.7,4.6,2370.0,1679,155568,320152,35.1,2021,45.91,38.31,25.95,-1.59,-2.42,-5.84,-1.45,2.55,1.07,65.91,57.49,38.8
Toronto CMA,1.1,1.6,2692.0,1779,168274,327263,36.6,2022,52.78,43.79,22.46,14.96,14.3,-13.45,15.87,-1.88,-6.19,76.37,56.41,36.4
Toronto CMA,0.6,1.4,2890.0,1961,183241,325494,38.4,2023,59.05,51.69,20.44,11.88,18.04,-8.99,3.05,-6.08,-10.03,78.7,52.98,32.75
Toronto CMA,0.7,2.5,2924.0,1974,207925,334748,40.6,2024,59.43,50.53,21.2,0.64,-2.24,3.72,5.4,-3.61,0.89,82.95,51.07,33.04
Vancouver CMA,0.8,2.6,2058.0,1792,77232,113141,29.6,2020,88.51,92.33,16.31,-7.04,-7.89,-3.43,-4.11,4.01,0.45,77.3,43.03,22.49
Vancouver CMA,0.8,1.2,2498.0,1824,79782,114743,29.4,2021,86.88,90.44,15.38,-1.84,-2.05,-5.7,3.26,-11.29,-5.2,79.82,38.17,21.32
Vancouver CMA,2.2,0.9,2504.0,2002,87632,118548,30.5,2022,92.33,95.8,12.07,6.27,5.93,-21.52,7.23,3.51,-9.52,85.59,39.51,19.29
Vancouver CMA,0.9,0.9,2580.0,2181,93961,121692,31.8,2023,88.94,93.42,11.99,-3.67,-2.48,-0.66,-6.98,-8.1,-5.81,79.62,36.31,18.17
Vancouver CMA,0.8,1.6,2827.0,2314,101610,124159,33.3,2024,82.29,85.21,12.68,-7.48,-8.79,5.75,-3.63,-4.27,1.98,76.73,34.76,18.53
Victoria CMA,0.3,2.2,2223.0,1507,6255,27499,23.6,2020,75.85,76.47,18.77,2.89,-0.44,-1.73,13.87,-11.51,-3.63,73.62,42.82,24.96
Victoria CMA,0.0,1.0,2116.0,1571,6356,28160,23.0,2021,72.72,69.21,20.67,-4.13,-9.49,10.12,12.78,-2.06,10.42,83.03,41.94,27.56
Victoria CMA,0.2,1.5,2321.0,1699,6585,29571,23.2,2022,74.92,69.2,18.57,3.03,-0.01,-10.16,9.39,10.3,1.96,90.83,46.26,28.1
Victoria CMA,0.1,1.6,2321.0,1839,6762,31064,23.2,2023,80.22,83.17,17.24,7.07,20.19,-7.16,-17.97,-15.93,-18.33,74.51,38.89,22.95
Victoria CMA,0.1,2.6,2321.0,1993,7972,32850,26.4,2024,71.18,67.85,22.0,-11.27,-18.42,27.61,8.71,2.37,20.92,81.0,39.81,27.75
Winnipeg CMA,2.2,3.8,1363.0,1262,4568,62453,23.3,2020,116.67,102.49,26.09,-11.69,-11.95,12.41,-11.2,2.16,7.05,155.34,51.09,34.91
Winnipeg CMA,2.1,5.0,1406.0,1317,4747,65368,23.9,2021,114.44,97.7,21.61,-1.91,-4.67,-17.17,2.2,-5.66,-8.11,158.76,48.2,32.08
Winnipeg CMA,1.9,2.7,1301.0,1350,4602,67651,22.8,2022,136.66,116.21,19.34,19.42,18.95,-10.5,20.12,2.68,-2.49,190.7,49.49,31.28
Winnipeg CMA,1.8,1.8,1333.0,1427,4867,69460,24.4,2023,130.12,104.9,20.49,-4.79,-9.73,5.95,2.77,-2.06,3.74,195.99,48.47,32.45
Winnipeg CMA,1.2,1.7,1445.0,1507,4772,73270,23.9,2024,125.16,100.9,23.24,-3.81,-3.81,13.42,-3.82,-2.39,3.33,188.5,47.31,33.53
